,2035,2040,2050
01JAN00:00,186,192,153
01JAN01:00,186,191,153
01JAN02:00,185,191,153
01JAN03:00,185,191,153
01JAN04:00,185,191,153
01JAN05:00,185,191,153
01JAN06:00,185,191,153
01JAN07:00,186,191,153
01JAN08:00,186,191,153
01JAN09:00,186,191,153
01JAN10:00,186,191,153
01JAN11:00,186,191,153
01JAN12:00,186,191,153
01JAN13:00,186,191,153
01JAN14:00,191,214,172
01JAN15:00,202,254,204
01JAN16:00,202,254,204
01JAN17:00,202,254,204
01JAN18:00,202,254,204
01JAN19:00,202,254,204
01JAN20:00,202,254,204
01JAN21:00,202,254,204
01JAN22:00,202,254,204
01JAN23:00,199,254,204
02JAN00:00,202,254,204
02JAN01:00,202,254,204
02JAN02:00,202,254,204
02JAN03:00,202,254,204
02JAN04:00,202,254,204
02JAN05:00,202,254,204
02JAN06:00,202,254,204
02JAN07:00,202,254,204
02JAN08:00,202,254,204
02JAN09:00,202,254,191
02JAN10:00,192,239,191
02JAN11:00,191,239,191
02JAN12:00,191,238,191
02JAN13:00,191,239,191
02JAN14:00,202,254,201
02JAN15:00,202,254,204
02JAN16:00,202,254,204
02JAN17:00,202,254,204
02JAN18:00,202,254,204
02JAN19:00,202,254,204
02JAN20:00,202,254,204
02JAN21:00,202,254,204
02JAN22:00,201,224,202
02JAN23:00,188,191,143
03JAN00:00,189,188,152
03JAN01:00,144,148,136
03JAN02:00,144,137,117
03JAN03:00,144,137,116
03JAN04:00,144,137,117
03JAN05:00,144,137,116
03JAN06:00,144,137,119
03JAN07:00,146,141,123
03JAN08:00,142,141,117
03JAN09:00,105,110,113
03JAN10:00,105,110,113
03JAN11:00,105,110,113
03JAN12:00,105,110,113
03JAN13:00,105,110,113
03JAN14:00,105,110,113
03JAN15:00,105,110,113
03JAN16:00,108,114,120
03JAN17:00,108,114,117
03JAN18:00,106,114,117
03JAN19:00,106,112,113
03JAN20:00,105,110,113
03JAN21:00,105,110,113
03JAN22:00,105,110,113
03JAN23:00,105,110,113
04JAN00:00,105,110,113
04JAN01:00,105,110,113
04JAN02:00,105,110,113
04JAN03:00,105,110,114
04JAN04:00,105,110,115
04JAN05:00,106,110,117
04JAN06:00,118,122,124
04JAN07:00,126,129,127
04JAN08:00,122,128,125
04JAN09:00,118,122,121
04JAN10:00,109,114,117
04JAN11:00,108,114,117
04JAN12:00,108,114,117
04JAN13:00,108,114,117
04JAN14:00,111,115,117
04JAN15:00,129,132,132
04JAN16:00,129,133,133
04JAN17:00,129,132,133
04JAN18:00,129,132,132
04JAN19:00,128,130,131
04JAN20:00,127,129,131
04JAN21:00,126,128,130
04JAN22:00,112,114,117
04JAN23:00,106,111,115
05JAN00:00,106,110,117
05JAN01:00,106,110,116
05JAN02:00,106,110,116
05JAN03:00,106,110,116
05JAN04:00,106,110,116
05JAN05:00,106,110,116
05JAN06:00,109,114,118
05JAN07:00,114,117,123
05JAN08:00,113,116,120
05JAN09:00,108,110,116
05JAN10:00,106,110,116
05JAN11:00,106,110,116
05JAN12:00,106,110,116
05JAN13:00,108,110,116
05JAN14:00,146,150,119
05JAN15:00,148,170,155
05JAN16:00,148,170,155
05JAN17:00,148,170,155
05JAN18:00,148,170,155
05JAN19:00,148,170,155
05JAN20:00,148,170,155
05JAN21:00,148,170,155
05JAN22:00,148,170,155
05JAN23:00,148,170,155
06JAN00:00,148,174,155
06JAN01:00,146,174,155
06JAN02:00,146,174,155
06JAN03:00,146,174,155
06JAN04:00,146,174,155
06JAN05:00,142,174,151
06JAN06:00,146,174,155
06JAN07:00,146,174,155
06JAN08:00,143,169,128
06JAN09:00,104,129,114
06JAN10:00,104,129,114
06JAN11:00,104,129,114
06JAN12:00,104,129,114
06JAN13:00,104,129,114
06JAN14:00,104,129,114
06JAN15:00,109,131,116
06JAN16:00,122,137,121
06JAN17:00,122,137,121
06JAN18:00,122,137,121
06JAN19:00,122,137,121
06JAN20:00,122,131,121
06JAN21:00,122,131,121
06JAN22:00,119,129,121
06JAN23:00,106,129,117
07JAN00:00,104,129,115
07JAN01:00,104,129,114
07JAN02:00,104,129,114
07JAN03:00,104,129,114
07JAN04:00,104,129,114
07JAN05:00,104,129,114
07JAN06:00,104,129,114
07JAN07:00,104,129,114
07JAN08:00,104,129,114
07JAN09:00,104,129,114
07JAN10:00,104,129,114
07JAN11:00,104,129,114
07JAN12:00,104,129,114
07JAN13:00,104,129,114
07JAN14:00,104,129,114
07JAN15:00,104,129,114
07JAN16:00,141,167,149
07JAN17:00,146,174,155
07JAN18:00,146,215,155
07JAN19:00,188,215,155
07JAN20:00,188,215,155
07JAN21:00,188,215,155
07JAN22:00,188,215,155
07JAN23:00,188,215,155
08JAN00:00,188,215,155
08JAN01:00,188,215,155
08JAN02:00,188,215,155
08JAN03:00,188,215,155
08JAN04:00,188,215,155
08JAN05:00,188,214,155
08JAN06:00,188,215,155
08JAN07:00,188,215,155
08JAN08:00,146,169,122
08JAN09:00,108,131,115
08JAN10:00,107,131,115
08JAN11:00,107,131,115
08JAN12:00,107,131,115
08JAN13:00,107,131,115
08JAN14:00,107,131,115
08JAN15:00,144,133,121
08JAN16:00,146,155,139
08JAN17:00,146,155,139
08JAN18:00,146,155,139
08JAN19:00,146,155,139
08JAN20:00,146,153,139
08JAN21:00,144,153,137
08JAN22:00,140,146,131
08JAN23:00,137,146,131
09JAN00:00,175,146,257
09JAN01:00,175,146,257
09JAN02:00,175,146,257
09JAN03:00,175,146,257
09JAN04:00,202,155,273
09JAN05:00,203,155,273
09JAN06:00,203,155,273
09JAN07:00,203,155,273
09JAN08:00,203,155,273
09JAN09:00,175,131,257
09JAN10:00,175,131,257
09JAN11:00,175,131,257
09JAN12:00,175,131,257
09JAN13:00,175,131,257
09JAN14:00,175,133,257
09JAN15:00,296,245,389
09JAN16:00,298,245,390
09JAN17:00,298,245,390
09JAN18:00,298,245,390
09JAN19:00,298,245,390
09JAN20:00,298,245,390
09JAN21:00,298,245,390
09JAN22:00,298,245,390
09JAN23:00,298,245,390
10JAN00:00,298,245,390
