"id","region","year","type","capacity_tra_inst_0","conversion_factor_exo_road_mcar_pkm","conversion_factor_sec_ethanol","conversion_factor_sec_gasoline","cost_fix_tra","cost_inv_tra","cost_var_tra","ef_sec_ethanol_emi_co2_f_tra","ef_sec_gasoline_emi_ch4_f_tra","ef_sec_gasoline_emi_co2_f_tra","ef_sec_gasoline_emi_n2o_f_tra","lifetime","mileage","occupancy_rate","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_mcar_ice_pass_flex_0",10026.0,156.0,82.77,82.77,893.44538,25177.92,0.02801,"global_emission_factors.bioethanol",4.86,"global_emission_factors.gasoline",0.31,13.0,11282.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8S&PG2023"", ""conversion_factor_sec_ethanol"": ""8KroyaWojci2022"", ""conversion_factor_sec_gasoline"": ""8KroyaWojci2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8DLR2023"", ""cost_var_tra"": ""8DLR2023"", ""ef_sec_gasoline_emi_ch4_f_tra"": ""8Umwel2023"", ""ef_sec_gasoline_emi_n2o_f_tra"": ""8Umwel2023"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""conversion_factor_sec_ethanol"": ""Calculated based on 8KroyaWojci2022."", ""conversion_factor_sec_gasoline"": ""Calculated based on 8KroyaWojci2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Own assumption""}"
2,"DE",2024,"tra_road_mcar_ice_pass_flex_0",7712.0,156.0,82.77,82.77,893.44538,25177.92,0.02801,"global_emission_factors.bioethanol",4.86,"global_emission_factors.gasoline",0.31,13.0,11702.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8S&PG2023"", ""conversion_factor_sec_ethanol"": ""8KroyaWojci2022"", ""conversion_factor_sec_gasoline"": ""8KroyaWojci2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8DLR2023"", ""cost_var_tra"": ""8DLR2023"", ""ef_sec_gasoline_emi_ch4_f_tra"": ""8Umwel2023"", ""ef_sec_gasoline_emi_n2o_f_tra"": ""8Umwel2023"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_ethanol"": ""Calculated based on 8KroyaWojci2022."", ""conversion_factor_sec_gasoline"": ""Calculated based on 8KroyaWojci2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Own assumption""}"
3,"DE",2027,"tra_road_mcar_ice_pass_flex_0",5399.0,156.0,82.77,82.77,893.44538,25177.92,0.02801,"global_emission_factors.bioethanol",4.86,"global_emission_factors.gasoline",0.31,13.0,11966.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8S&PG2023"", ""conversion_factor_sec_ethanol"": ""8KroyaWojci2022"", ""conversion_factor_sec_gasoline"": ""8KroyaWojci2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8DLR2023"", ""cost_var_tra"": ""8DLR2023"", ""ef_sec_gasoline_emi_ch4_f_tra"": ""8Umwel2023"", ""ef_sec_gasoline_emi_n2o_f_tra"": ""8Umwel2023"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_ethanol"": ""Calculated based on 8KroyaWojci2022."", ""conversion_factor_sec_gasoline"": ""Calculated based on 8KroyaWojci2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Own assumption""}"
4,"DE",2030,"tra_road_mcar_ice_pass_flex_0",3085.0,156.0,82.77,82.77,893.44538,25177.92,0.02801,"global_emission_factors.bioethanol",4.86,"global_emission_factors.gasoline",0.31,13.0,12037.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8S&PG2023"", ""conversion_factor_sec_ethanol"": ""8KroyaWojci2022"", ""conversion_factor_sec_gasoline"": ""8KroyaWojci2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8DLR2023"", ""cost_var_tra"": ""8DLR2023"", ""ef_sec_gasoline_emi_ch4_f_tra"": ""8Umwel2023"", ""ef_sec_gasoline_emi_n2o_f_tra"": ""8Umwel2023"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_ethanol"": ""Calculated based on 8KroyaWojci2022."", ""conversion_factor_sec_gasoline"": ""Calculated based on 8KroyaWojci2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Own assumption""}"
5,"DE",2035,"tra_road_mcar_ice_pass_flex_0",0.0,156.0,82.77,82.77,893.44538,25177.92,0.02801,"global_emission_factors.bioethanol",4.86,"global_emission_factors.gasoline",0.31,13.0,12384.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8S&PG2023"", ""conversion_factor_sec_ethanol"": ""8KroyaWojci2022"", ""conversion_factor_sec_gasoline"": ""8KroyaWojci2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8DLR2023"", ""cost_var_tra"": ""8DLR2023"", ""ef_sec_gasoline_emi_ch4_f_tra"": ""8Umwel2023"", ""ef_sec_gasoline_emi_n2o_f_tra"": ""8Umwel2023"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_ethanol"": ""Calculated based on 8KroyaWojci2022."", ""conversion_factor_sec_gasoline"": ""Calculated based on 8KroyaWojci2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Own assumption""}"
6,"DE",2040,"tra_road_mcar_ice_pass_flex_0",0.0,156.0,82.77,82.77,893.44538,25177.92,0.02801,"global_emission_factors.bioethanol",4.86,"global_emission_factors.gasoline",0.31,13.0,12805.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8S&PG2023"", ""conversion_factor_sec_ethanol"": ""8KroyaWojci2022"", ""conversion_factor_sec_gasoline"": ""8KroyaWojci2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8DLR2023"", ""cost_var_tra"": ""8DLR2023"", ""ef_sec_gasoline_emi_ch4_f_tra"": ""8Umwel2023"", ""ef_sec_gasoline_emi_n2o_f_tra"": ""8Umwel2023"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_ethanol"": ""Calculated based on 8KroyaWojci2022."", ""conversion_factor_sec_gasoline"": ""Calculated based on 8KroyaWojci2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Own assumption""}"
7,"DE",2045,"tra_road_mcar_ice_pass_flex_0",0.0,156.0,82.77,82.77,893.44538,25177.92,0.02801,"global_emission_factors.bioethanol",4.86,"global_emission_factors.gasoline",0.31,13.0,13237.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8S&PG2023"", ""conversion_factor_sec_ethanol"": ""8KroyaWojci2022"", ""conversion_factor_sec_gasoline"": ""8KroyaWojci2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8DLR2023"", ""cost_var_tra"": ""8DLR2023"", ""ef_sec_gasoline_emi_ch4_f_tra"": ""8Umwel2023"", ""ef_sec_gasoline_emi_n2o_f_tra"": ""8Umwel2023"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_ethanol"": ""Calculated based on 8KroyaWojci2022."", ""conversion_factor_sec_gasoline"": ""Calculated based on 8KroyaWojci2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Own assumption""}"
8,"DE",2050,"tra_road_mcar_ice_pass_flex_0",0.0,156.0,82.77,82.77,893.44538,25177.92,0.02801,"global_emission_factors.bioethanol",4.86,"global_emission_factors.gasoline",0.31,13.0,13610.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8S&PG2023"", ""conversion_factor_sec_ethanol"": ""8KroyaWojci2022"", ""conversion_factor_sec_gasoline"": ""8KroyaWojci2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8DLR2023"", ""cost_var_tra"": ""8DLR2023"", ""ef_sec_gasoline_emi_ch4_f_tra"": ""8Umwel2023"", ""ef_sec_gasoline_emi_n2o_f_tra"": ""8Umwel2023"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_ethanol"": ""Calculated based on 8KroyaWojci2022."", ""conversion_factor_sec_gasoline"": ""Calculated based on 8KroyaWojci2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Own assumption""}"
9,"DE",2060,"tra_road_mcar_ice_pass_flex_0",0.0,156.0,82.77,82.77,893.44538,25177.92,0.02801,"global_emission_factors.bioethanol",4.86,"global_emission_factors.gasoline",0.31,13.0,14258.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8S&PG2023"", ""conversion_factor_sec_ethanol"": ""8KroyaWojci2022"", ""conversion_factor_sec_gasoline"": ""8KroyaWojci2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8DLR2023"", ""cost_var_tra"": ""8DLR2023"", ""ef_sec_gasoline_emi_ch4_f_tra"": ""8Umwel2023"", ""ef_sec_gasoline_emi_n2o_f_tra"": ""8Umwel2023"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_ethanol"": ""Calculated based on 8KroyaWojci2022."", ""conversion_factor_sec_gasoline"": ""Calculated based on 8KroyaWojci2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Own assumption""}"
10,"DE",2070,"tra_road_mcar_ice_pass_flex_0",0.0,156.0,82.77,82.77,893.44538,25177.92,0.02801,"global_emission_factors.bioethanol",4.86,"global_emission_factors.gasoline",0.31,13.0,14823.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8S&PG2023"", ""conversion_factor_sec_ethanol"": ""8KroyaWojci2022"", ""conversion_factor_sec_gasoline"": ""8KroyaWojci2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8DLR2023"", ""cost_var_tra"": ""8DLR2023"", ""ef_sec_gasoline_emi_ch4_f_tra"": ""8Umwel2023"", ""ef_sec_gasoline_emi_n2o_f_tra"": ""8Umwel2023"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_ethanol"": ""Calculated based on 8KroyaWojci2022."", ""conversion_factor_sec_gasoline"": ""Calculated based on 8KroyaWojci2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Own assumption""}"
