"id","region","year","type","capacity_tra_max","capacity_tra_min","conversion_factor_exo_road_mcar_pkm","conversion_factor_sec_methanol","cost_fix_tra","cost_inv_tra","cost_var_tra","ef_sec_methanol_emi_co2_f_tra","lifetime","market_share_range","mileage","occupancy_rate","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_mcar_ice_pass_methanol_1",0.0,0.0,156.0,49.7,893.44538,26151.2605,0.02784,"global_emission_factors.methanol",13.0,"",11282.0,1.56,"global_scalars.wacc","{""market_share_range"": ""range""}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""conversion_factor_sec_methanol"": ""Calculated based on 8KrameBothe2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Calculated based on 8KrameBothe2022."", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""conversion_factor_sec_methanol"": ""8KrameBothe2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8KrameBothe2022"", ""cost_var_tra"": ""8DLR2023"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_max"": ""No optimization of fleet composition in 2021."", ""capacity_tra_min"": ""No optimization of fleet composition in 2021."", ""conversion_factor_sec_methanol"": ""No vehicle model available."", ""cost_fix_tra"": ""No vehicle model available. Since it is also a spark ignited internal combustion engine, it is assumed that the cost_fix_tra and the cost_var_tra are the same as those of the gasoline vehicle."", ""cost_inv_tra"": ""According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV."", ""cost_var_tra"": ""No vehicle model available. Since it is also a spark ignited internal combustion engine, it is assumed that the cost_fix_tra and the cost_var_tra are the same as those of the gasoline vehicle."", ""lifetime"": ""No data available for vehicle type/scenario year differentiation."", ""market_share_range"": ""No optimization of fleet composition in 2021.""}"
2,"DE",2024,"tra_road_mcar_ice_pass_methanol_1",282809.43991,0.0,156.0,49.7,893.44538,26151.2605,0.02784,"global_emission_factors.methanol",13.0,"[0.0, 1.0]",11702.0,1.56,"global_scalars.wacc","{""market_share_range"": ""range""}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""conversion_factor_sec_methanol"": ""Calculated based on 8KrameBothe2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Calculated based on 8KrameBothe2022."", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_max"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""capacity_tra_min"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""conversion_factor_sec_methanol"": ""8KrameBothe2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8KrameBothe2022"", ""cost_var_tra"": ""8DLR2023"", ""lifetime"": ""8Kraft2011"", ""market_share_range"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_max"": ""No optimization of fleet composition in 2021."", ""capacity_tra_min"": ""No optimization of fleet composition in 2021."", ""conversion_factor_sec_methanol"": ""No vehicle model available."", ""cost_fix_tra"": ""No vehicle model available. Since it is also a spark ignited internal combustion engine, it is assumed that the cost_fix_tra and the cost_var_tra are the same as those of the gasoline vehicle."", ""cost_inv_tra"": ""According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV."", ""cost_var_tra"": ""No vehicle model available. Since it is also a spark ignited internal combustion engine, it is assumed that the cost_fix_tra and the cost_var_tra are the same as those of the gasoline vehicle."", ""lifetime"": ""No data available for vehicle type/scenario year differentiation."", ""market_share_range"": ""No optimization of fleet composition in 2021.""}"
3,"DE",2027,"tra_road_mcar_ice_pass_methanol_1",570793.62315,0.0,156.0,49.7,893.44538,26151.2605,0.02784,"global_emission_factors.methanol",13.0,"[0.0, 2.0]",11966.0,1.56,"global_scalars.wacc","{""market_share_range"": ""range""}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""conversion_factor_sec_methanol"": ""Calculated based on 8KrameBothe2022."", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Calculated based on 8KrameBothe2022."", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_max"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""capacity_tra_min"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""conversion_factor_sec_methanol"": ""8KrameBothe2022"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8KrameBothe2022"", ""cost_var_tra"": ""8DLR2023"", ""lifetime"": ""8Kraft2011"", ""market_share_range"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_max"": ""No optimization of fleet composition in 2021."", ""capacity_tra_min"": ""No optimization of fleet composition in 2021."", ""conversion_factor_sec_methanol"": ""No vehicle model available."", ""cost_fix_tra"": ""No vehicle model available. Since it is also a spark ignited internal combustion engine, it is assumed that the cost_fix_tra and the cost_var_tra are the same as those of the gasoline vehicle."", ""cost_inv_tra"": ""According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV."", ""cost_var_tra"": ""No vehicle model available. Since it is also a spark ignited internal combustion engine, it is assumed that the cost_fix_tra and the cost_var_tra are the same as those of the gasoline vehicle."", ""lifetime"": ""No data available for vehicle type/scenario year differentiation."", ""market_share_range"": ""No optimization of fleet composition in 2021.""}"
4,"DE",2030,"tra_road_mcar_ice_pass_methanol_1",1434508.56458,0.0,156.0,45.18,893.44538,28538.47059,0.02693,"global_emission_factors.methanol",13.0,"[0.0, 5.0]",12037.0,1.56,"global_scalars.wacc","{""market_share_range"": ""range""}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""conversion_factor_sec_methanol"": ""Own assumption"", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Calculated based on 8KrameBothe2022."", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_max"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""capacity_tra_min"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""conversion_factor_sec_methanol"": ""8DLR2023"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8KrameBothe2022"", ""cost_var_tra"": ""8DLR2023"", ""lifetime"": ""8Kraft2011"", ""market_share_range"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_max"": ""No optimization of fleet composition in 2021."", ""capacity_tra_min"": ""No optimization of fleet composition in 2021."", ""conversion_factor_sec_methanol"": ""Same fuel consumption improvement as conventional internal combustion engine vehicles"", ""cost_fix_tra"": ""Assumed to be same as in 2020"", ""cost_inv_tra"": ""According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV."", ""cost_var_tra"": ""Assumed to be same as in 2020"", ""lifetime"": ""No data available for vehicle type/scenario year differentiation."", ""market_share_range"": ""No optimization of fleet composition in 2021.""}"
5,"DE",2035,"tra_road_mcar_ice_pass_methanol_1",4299564.64624,0.0,156.0,45.18,893.44538,28538.47059,0.02693,"global_emission_factors.methanol",13.0,"[0.0, 15.0]",12384.0,1.56,"global_scalars.wacc","{""market_share_range"": ""range""}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""conversion_factor_sec_methanol"": ""Own assumption"", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Calculated based on 8KrameBothe2022."", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_max"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""capacity_tra_min"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""conversion_factor_sec_methanol"": ""8DLR2023"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8KrameBothe2022"", ""cost_var_tra"": ""8DLR2023"", ""lifetime"": ""8Kraft2011"", ""market_share_range"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_max"": ""No optimization of fleet composition in 2021."", ""capacity_tra_min"": ""No optimization of fleet composition in 2021."", ""conversion_factor_sec_methanol"": ""Same fuel consumption improvement as conventional internal combustion engine vehicles"", ""cost_fix_tra"": ""Assumed to be same as in 2020"", ""cost_inv_tra"": ""According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV."", ""cost_var_tra"": ""Assumed to be same as in 2020"", ""lifetime"": ""No data available for vehicle type/scenario year differentiation."", ""market_share_range"": ""No optimization of fleet composition in 2021.""}"
6,"DE",2040,"tra_road_mcar_ice_pass_methanol_1",5774711.99604,0.0,156.0,44.68352,893.44538,28538.47059,0.02693,"global_emission_factors.methanol",13.0,"[0.0, 20.0]",12805.0,1.56,"global_scalars.wacc","{""market_share_range"": ""range""}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""conversion_factor_sec_methanol"": ""Own assumption"", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Calculated based on 8KrameBothe2022."", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_max"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""capacity_tra_min"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""conversion_factor_sec_methanol"": ""8DLR2023"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8KrameBothe2022"", ""cost_var_tra"": ""8DLR2023"", ""lifetime"": ""8Kraft2011"", ""market_share_range"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_max"": ""No optimization of fleet composition in 2021."", ""capacity_tra_min"": ""No optimization of fleet composition in 2021."", ""conversion_factor_sec_methanol"": ""Same fuel consumption improvement as conventional internal combustion engine vehicles"", ""cost_fix_tra"": ""Assumed to be same as in 2020"", ""cost_inv_tra"": ""According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV."", ""cost_var_tra"": ""Assumed to be same as in 2020"", ""lifetime"": ""No data available for vehicle type/scenario year differentiation."", ""market_share_range"": ""No optimization of fleet composition in 2021.""}"
7,"DE",2045,"tra_road_mcar_ice_pass_methanol_1",5739948.24271,0.0,156.0,44.68352,893.44538,28538.47059,0.02693,"global_emission_factors.methanol",13.0,"[0.0, 20.0]",13237.0,1.56,"global_scalars.wacc","{""market_share_range"": ""range""}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""conversion_factor_sec_methanol"": ""Own assumption"", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Calculated based on 8KrameBothe2022."", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_max"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""capacity_tra_min"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""conversion_factor_sec_methanol"": ""8DLR2023"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8KrameBothe2022"", ""cost_var_tra"": ""8DLR2023"", ""lifetime"": ""8Kraft2011"", ""market_share_range"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_max"": ""No optimization of fleet composition in 2021."", ""capacity_tra_min"": ""No optimization of fleet composition in 2021."", ""conversion_factor_sec_methanol"": ""Same fuel consumption improvement as conventional internal combustion engine vehicles"", ""cost_fix_tra"": ""Assumed to be same as in 2020"", ""cost_inv_tra"": ""According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV."", ""cost_var_tra"": ""Assumed to be same as in 2020"", ""lifetime"": ""No data available for vehicle type/scenario year differentiation."", ""market_share_range"": ""No optimization of fleet composition in 2021.""}"
8,"DE",2050,"tra_road_mcar_ice_pass_methanol_1",5722643.50971,0.0,156.0,44.68352,893.44538,28538.47059,0.02693,"global_emission_factors.methanol",13.0,"[0.0, 20.0]",13610.0,1.56,"global_scalars.wacc","{""market_share_range"": ""range""}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""conversion_factor_sec_methanol"": ""Own assumption"", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Calculated based on 8KrameBothe2022."", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_max"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""capacity_tra_min"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""conversion_factor_sec_methanol"": ""8DLR2023"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8KrameBothe2022"", ""cost_var_tra"": ""8DLR2023"", ""lifetime"": ""8Kraft2011"", ""market_share_range"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_max"": ""No optimization of fleet composition in 2021."", ""capacity_tra_min"": ""No optimization of fleet composition in 2021."", ""conversion_factor_sec_methanol"": ""Same fuel consumption improvement as conventional internal combustion engine vehicles"", ""cost_fix_tra"": ""Assumed to be same as in 2020"", ""cost_inv_tra"": ""According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV."", ""cost_var_tra"": ""Assumed to be same as in 2020"", ""lifetime"": ""No data available for vehicle type/scenario year differentiation."", ""market_share_range"": ""No optimization of fleet composition in 2021.""}"
9,"DE",2060,"tra_road_mcar_ice_pass_methanol_1",5722732.59774,0.0,156.0,44.68352,893.44538,28538.47059,0.02693,"global_emission_factors.methanol",13.0,"[0.0, 20.0]",14258.0,1.56,"global_scalars.wacc","{""market_share_range"": ""range""}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""conversion_factor_sec_methanol"": ""Own assumption"", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Calculated based on 8KrameBothe2022."", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_max"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""capacity_tra_min"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""conversion_factor_sec_methanol"": ""8DLR2023"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8KrameBothe2022"", ""cost_var_tra"": ""8DLR2023"", ""lifetime"": ""8Kraft2011"", ""market_share_range"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_max"": ""No optimization of fleet composition in 2021."", ""capacity_tra_min"": ""No optimization of fleet composition in 2021."", ""conversion_factor_sec_methanol"": ""Same fuel consumption improvement as conventional internal combustion engine vehicles"", ""cost_fix_tra"": ""Assumed to be same as in 2020"", ""cost_inv_tra"": ""According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV."", ""cost_var_tra"": ""Assumed to be same as in 2020"", ""lifetime"": ""No data available for vehicle type/scenario year differentiation."", ""market_share_range"": ""No optimization of fleet composition in 2021.""}"
10,"DE",2070,"tra_road_mcar_ice_pass_methanol_1",5722750.80754,0.0,156.0,44.68352,893.44538,28538.47059,0.02693,"global_emission_factors.methanol",13.0,"[0.0, 20.0]",14823.0,1.56,"global_scalars.wacc","{""market_share_range"": ""range""}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""conversion_factor_sec_methanol"": ""Own assumption"", ""cost_fix_tra"": ""Own assumption"", ""cost_inv_tra"": ""Calculated based on 8KrameBothe2022."", ""cost_var_tra"": ""Own assumption Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_max"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""capacity_tra_min"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""conversion_factor_sec_methanol"": ""8DLR2023"", ""cost_fix_tra"": ""8DLR2023"", ""cost_inv_tra"": ""8KrameBothe2022"", ""cost_var_tra"": ""8DLR2023"", ""lifetime"": ""8Kraft2011"", ""market_share_range"": ""8Bosto2021,8HarthForst2023,8Progn2021,8AllekBiema2023,8AllekBiema2020,8DLR2023"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_max"": ""No optimization of fleet composition in 2021."", ""capacity_tra_min"": ""No optimization of fleet composition in 2021."", ""conversion_factor_sec_methanol"": ""Same fuel consumption improvement as conventional internal combustion engine vehicles"", ""cost_fix_tra"": ""Assumed to be same as in 2020"", ""cost_inv_tra"": ""According to 8KrameBothe2022 medium passenger car Methanol ICEVs are 257 Euro more expensive compared to an gasoline ICEV."", ""cost_var_tra"": ""Assumed to be same as in 2020"", ""lifetime"": ""No data available for vehicle type/scenario year differentiation."", ""market_share_range"": ""No optimization of fleet composition in 2021.""}"
