"id","region","year","sto_ep_ratio_binding","sto_self_discharge","efficiency_sto_in","efficiency_sto_out","bandwidth_type","version","method","source","comment"
21,"DE",2021,"[1.0]","[0.0]","[100.0]","[100.0]","{""sto_ep_ratio_binding"": ""values"", ""sto_self_discharge"": ""values"", ""efficiency_sto_in"": ""values"", ""efficiency_sto_out"": ""values""}","srd_point_sedos","{""sto_ep_ratio_binding"": """", ""sto_self_discharge"": """", ""efficiency_sto_in"": """", ""efficiency_sto_out"": """"}","{""sto_ep_ratio_binding"": ""helper component to temporarily store commodity"", ""sto_self_discharge"": ""helper component to temporarily store commodity"", ""efficiency_sto_in"": ""helper component to temporarily store commodity"", ""efficiency_sto_out"": ""helper component to temporarily store commodity""}",""
22,"DE",2024,"[1.0]","[0.0]","[100.0]","[100.0]","{""sto_ep_ratio_binding"": ""values"", ""sto_self_discharge"": ""values"", ""efficiency_sto_in"": ""values"", ""efficiency_sto_out"": ""values""}","srd_point_sedos","{""sto_ep_ratio_binding"": """", ""sto_self_discharge"": """", ""efficiency_sto_in"": """", ""efficiency_sto_out"": """"}","{""sto_ep_ratio_binding"": ""helper component to temporarily store commodity"", ""sto_self_discharge"": ""helper component to temporarily store commodity"", ""efficiency_sto_in"": ""helper component to temporarily store commodity"", ""efficiency_sto_out"": ""helper component to temporarily store commodity""}",""
23,"DE",2027,"[1.0]","[0.0]","[100.0]","[100.0]","{""sto_ep_ratio_binding"": ""values"", ""sto_self_discharge"": ""values"", ""efficiency_sto_in"": ""values"", ""efficiency_sto_out"": ""values""}","srd_point_sedos","{""sto_ep_ratio_binding"": """", ""sto_self_discharge"": """", ""efficiency_sto_in"": """", ""efficiency_sto_out"": """"}","{""sto_ep_ratio_binding"": ""helper component to temporarily store commodity"", ""sto_self_discharge"": ""helper component to temporarily store commodity"", ""efficiency_sto_in"": ""helper component to temporarily store commodity"", ""efficiency_sto_out"": ""helper component to temporarily store commodity""}",""
24,"DE",2030,"[1.0]","[0.0]","[100.0]","[100.0]","{""sto_ep_ratio_binding"": ""values"", ""sto_self_discharge"": ""values"", ""efficiency_sto_in"": ""values"", ""efficiency_sto_out"": ""values""}","srd_point_sedos","{""sto_ep_ratio_binding"": """", ""sto_self_discharge"": """", ""efficiency_sto_in"": """", ""efficiency_sto_out"": """"}","{""sto_ep_ratio_binding"": ""helper component to temporarily store commodity"", ""sto_self_discharge"": ""helper component to temporarily store commodity"", ""efficiency_sto_in"": ""helper component to temporarily store commodity"", ""efficiency_sto_out"": ""helper component to temporarily store commodity""}",""
25,"DE",2035,"[1.0]","[0.0]","[100.0]","[100.0]","{""sto_ep_ratio_binding"": ""values"", ""sto_self_discharge"": ""values"", ""efficiency_sto_in"": ""values"", ""efficiency_sto_out"": ""values""}","srd_point_sedos","{""sto_ep_ratio_binding"": """", ""sto_self_discharge"": """", ""efficiency_sto_in"": """", ""efficiency_sto_out"": """"}","{""sto_ep_ratio_binding"": ""helper component to temporarily store commodity"", ""sto_self_discharge"": ""helper component to temporarily store commodity"", ""efficiency_sto_in"": ""helper component to temporarily store commodity"", ""efficiency_sto_out"": ""helper component to temporarily store commodity""}",""
26,"DE",2040,"[1.0]","[0.0]","[100.0]","[100.0]","{""sto_ep_ratio_binding"": ""values"", ""sto_self_discharge"": ""values"", ""efficiency_sto_in"": ""values"", ""efficiency_sto_out"": ""values""}","srd_point_sedos","{""sto_ep_ratio_binding"": """", ""sto_self_discharge"": """", ""efficiency_sto_in"": """", ""efficiency_sto_out"": """"}","{""sto_ep_ratio_binding"": ""helper component to temporarily store commodity"", ""sto_self_discharge"": ""helper component to temporarily store commodity"", ""efficiency_sto_in"": ""helper component to temporarily store commodity"", ""efficiency_sto_out"": ""helper component to temporarily store commodity""}",""
27,"DE",2045,"[1.0]","[0.0]","[100.0]","[100.0]","{""sto_ep_ratio_binding"": ""values"", ""sto_self_discharge"": ""values"", ""efficiency_sto_in"": ""values"", ""efficiency_sto_out"": ""values""}","srd_point_sedos","{""sto_ep_ratio_binding"": """", ""sto_self_discharge"": """", ""efficiency_sto_in"": """", ""efficiency_sto_out"": """"}","{""sto_ep_ratio_binding"": ""helper component to temporarily store commodity"", ""sto_self_discharge"": ""helper component to temporarily store commodity"", ""efficiency_sto_in"": ""helper component to temporarily store commodity"", ""efficiency_sto_out"": ""helper component to temporarily store commodity""}",""
28,"DE",2050,"[1.0]","[0.0]","[100.0]","[100.0]","{""sto_ep_ratio_binding"": ""values"", ""sto_self_discharge"": ""values"", ""efficiency_sto_in"": ""values"", ""efficiency_sto_out"": ""values""}","srd_point_sedos","{""sto_ep_ratio_binding"": """", ""sto_self_discharge"": """", ""efficiency_sto_in"": """", ""efficiency_sto_out"": """"}","{""sto_ep_ratio_binding"": ""helper component to temporarily store commodity"", ""sto_self_discharge"": ""helper component to temporarily store commodity"", ""efficiency_sto_in"": ""helper component to temporarily store commodity"", ""efficiency_sto_out"": ""helper component to temporarily store commodity""}",""
29,"DE",2060,"[1.0]","[0.0]","[100.0]","[100.0]","{""sto_ep_ratio_binding"": ""values"", ""sto_self_discharge"": ""values"", ""efficiency_sto_in"": ""values"", ""efficiency_sto_out"": ""values""}","srd_point_sedos","{""sto_ep_ratio_binding"": """", ""sto_self_discharge"": """", ""efficiency_sto_in"": """", ""efficiency_sto_out"": """"}","{""sto_ep_ratio_binding"": ""helper component to temporarily store commodity"", ""sto_self_discharge"": ""helper component to temporarily store commodity"", ""efficiency_sto_in"": ""helper component to temporarily store commodity"", ""efficiency_sto_out"": ""helper component to temporarily store commodity""}",""
30,"DE",2070,"[1.0]","[0.0]","[100.0]","[100.0]","{""sto_ep_ratio_binding"": ""values"", ""sto_self_discharge"": ""values"", ""efficiency_sto_in"": ""values"", ""efficiency_sto_out"": ""values""}","srd_point_sedos","{""sto_ep_ratio_binding"": """", ""sto_self_discharge"": """", ""efficiency_sto_in"": """", ""efficiency_sto_out"": """"}","{""sto_ep_ratio_binding"": ""helper component to temporarily store commodity"", ""sto_self_discharge"": ""helper component to temporarily store commodity"", ""efficiency_sto_in"": ""helper component to temporarily store commodity"", ""efficiency_sto_out"": ""helper component to temporarily store commodity""}",""
