"id","region","year","capacity_p_abs_new_max","conversion_factor_sec_hydrogen","conversion_factor_sec_elec","conversion_factor_sec_heat_low","cb_coefficient","cost_inv_p","cost_fix_p","lifetime","wacc","bandwidth_type","version","method","source","comment"
21,"DE",2021,"[0.0]","[1.0]","[0.5975]","[0.2525]","[2.366]","[4185000.0]","[241750.0]","[13.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cb_coefficient"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cb_coefficient"": ""calculated from conversion factor for heat and electricity"", ""cost_inv_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cost_fix_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""lifetime"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cb_coefficient"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
22,"DE",2024,"[]","[1.0]","[0.61]","[0.2475]","[2.465]","[3496555.0]","[201078.0]","[13.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cb_coefficient"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cb_coefficient"": ""calculated from conversion factor for heat and electricity"", ""cost_inv_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cost_fix_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""lifetime"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cb_coefficient"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
23,"DE",2027,"[]","[1.0]","[0.62]","[0.2425]","[2.557]","[2808098.0]","[160405.0]","[15.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cb_coefficient"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cb_coefficient"": ""calculated from conversion factor for heat and electricity"", ""cost_inv_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cost_fix_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""lifetime"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cb_coefficient"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
24,"DE",2030,"[]","[1.0]","[0.6375]","[0.2325]","[2.742]","[2119913.0]","[119746.0]","[15.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cb_coefficient"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cb_coefficient"": ""calculated from conversion factor for heat and electricity"", ""cost_inv_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cost_fix_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""lifetime"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cb_coefficient"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
25,"DE",2035,"[]","[1.0]","[0.64]","[0.2275]","[2.813]","[192453.0]","[108807.0]","[18.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cb_coefficient"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cb_coefficient"": ""calculated from conversion factor for heat and electricity"", ""cost_inv_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cost_fix_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""lifetime"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cb_coefficient"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
26,"DE",2040,"[]","[1.0]","[0.6475]","[0.2175]","[2.977]","[1728653.0]","[97840.0]","[18.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cb_coefficient"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cb_coefficient"": ""calculated from conversion factor for heat and electricity"", ""cost_inv_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cost_fix_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""lifetime"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cb_coefficient"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
27,"DE",2045,"[]","[1.0]","[0.65]","[0.2125]","[3.059]","[1577522.0]","[89111.0]","[18.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cb_coefficient"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cb_coefficient"": ""calculated from conversion factor for heat and electricity"", ""cost_inv_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cost_fix_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""lifetime"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cb_coefficient"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
28,"DE",2050,"[]","[1.0]","[0.6575]","[0.2025]","[3.247]","[1426132.0]","[80370.0]","[18.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cb_coefficient"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cb_coefficient"": ""calculated from conversion factor for heat and electricity"", ""cost_inv_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cost_fix_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""lifetime"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cb_coefficient"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
29,"DE",2060,"[]","[1.0]","[0.6575]","[0.2025]","[3.247]","[1426132.0]","[80370.0]","[18.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cb_coefficient"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cb_coefficient"": ""calculated from conversion factor for heat and electricity"", ""cost_inv_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cost_fix_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""lifetime"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cb_coefficient"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
30,"DE",2070,"[]","[1.0]","[0.6575]","[0.2025]","[3.247]","[1426132.0]","[80370.0]","[18.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cb_coefficient"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cb_coefficient"": ""calculated from conversion factor for heat and electricity"", ""cost_inv_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""cost_fix_p"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""lifetime"": ""mean value from x2x_g2p_sofc_ls_1 and x2x_g2p_pemfc_ls_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cb_coefficient"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
