"id","region","year","conversion_factor_sec_ammonia_orig","cost_var_e","bandwidth_type","version","method","source","comment"
21,"DE",2021,"[1.0]","[281.0]","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_ammonia_orig"": """", ""cost_var_e"": ""value extracted from literature source and transport costs of 45-100 $/t, which are specified in the literature source as well are added (in accordance with other publications stating 5-20% transportation costs depending on import country, https://doi.org/10.48550/arXiv.2208.14887), monetary conversion from $2022 to €2021.""}","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022""}",""
22,"DE",2024,"[1.0]","[281.0]","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_ammonia_orig"": """", ""cost_var_e"": ""assumed to remain constant in accordance with literature source""}","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022""}",""
23,"DE",2027,"[1.0]","[281.0]","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_ammonia_orig"": """", ""cost_var_e"": ""assumed to remain constant in accordance with literature source""}","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022""}",""
24,"DE",2030,"[1.0]","[281.0]","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_ammonia_orig"": """", ""cost_var_e"": ""assumed to remain constant in accordance with literature source""}","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022""}",""
25,"DE",2035,"[1.0]","[281.0]","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_ammonia_orig"": """", ""cost_var_e"": ""assumed to remain constant in accordance with literature source""}","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022""}",""
26,"DE",2040,"[1.0]","[281.0]","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_ammonia_orig"": """", ""cost_var_e"": ""assumed to remain constant in accordance with literature source""}","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022""}",""
27,"DE",2045,"[1.0]","[281.0]","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_ammonia_orig"": """", ""cost_var_e"": ""assumed to remain constant in accordance with literature source""}","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022""}",""
28,"DE",2050,"[1.0]","[281.0]","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_ammonia_orig"": """", ""cost_var_e"": ""assumed to remain constant in accordance with literature source""}","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022""}",""
29,"DE",2060,"[1.0]","[281.0]","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_ammonia_orig"": """", ""cost_var_e"": ""assumed to remain constant in accordance with literature source""}","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022""}",""
30,"DE",2070,"[1.0]","[281.0]","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_ammonia_orig"": """", ""cost_var_e"": ""assumed to remain constant in accordance with literature source""}","{""conversion_factor_sec_ammonia_orig"": ""values"", ""cost_var_e"": ""5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022""}",""
