"id","region","year","conversion_factor_pri_natural_gas","cost_var_e","bandwidth_type","version","method","source","comment"
28,"DE",2050,"[1.0]","[39.6]","{""conversion_factor_pri_natural_gas"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""value from literature, mean value calculated from differenct scenarios and regions, converted from ct/kWh in €/MWh, monetary conversion from €2022 to €2021.""}","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""5TYNDP2022Scenario""}",""
29,"DE",2060,"[1.0]","[39.6]","{""conversion_factor_pri_natural_gas"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""assumed to remain constant""}","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""ownAssumptions""}",""
30,"DE",2070,"[1.0]","[39.6]","{""conversion_factor_pri_natural_gas"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""assumed to remain constant""}","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""ownAssumptions""}",""
21,"DE",2021,"[1.0]","[54.1]","{""conversion_factor_pri_natural_gas"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""the values are based on a comparison of costs for natural gas import by pipeline and through LNG, considering compression and transportation costs. The cost curves for natural gas and LNG from Molnar (2022) 10.1007/978-3-030-86884-0_2 were adapted and the average transportation distance based on the countries where Germany imports the majority from was determined (1000km and 6000km respectively). From that the relative cost differences for these distances was determined leading to a cost factor of 2.93:1 with respect to LNG. Therefore, the costs determined for pipeline import was multiplied by the factor 2.93 to yield the variable costs, monetary conversion from €2022 to €2021.""}","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""5molnarEconomicsGasTransportation2022,5TYNDP2022Scenario""}",""
22,"DE",2024,"[1.0]","[54.1]","{""conversion_factor_pri_natural_gas"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""linear interpolation""}","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""5TYNDP2022Scenario""}",""
23,"DE",2027,"[1.0]","[49.0]","{""conversion_factor_pri_natural_gas"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""linear interpolation""}","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""ownCalculation""}",""
24,"DE",2030,"[1.0]","[39.0]","{""conversion_factor_pri_natural_gas"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""value from literature, mean value calculated from differenct scenarios and regions, converted from ct/kWh in €/MWh, monetary conversion from €2022 to €2021.""}","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""5TYNDP2022Scenario""}",""
25,"DE",2035,"[1.0]","[39.3]","{""conversion_factor_pri_natural_gas"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""linear interpolation""}","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""ownCalculation""}",""
26,"DE",2040,"[1.0]","[39.6]","{""conversion_factor_pri_natural_gas"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""linear interpolation""}","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""5TYNDP2022Scenario""}",""
27,"DE",2045,"[1.0]","[39.6]","{""conversion_factor_pri_natural_gas"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""linear interpolation""}","{""conversion_factor_pri_natural_gas"": """", ""cost_var_e"": ""ownCalculation""}",""
