"id","region","year","ef_sec_gasoline_syn_orig_emi_co2_neg_imp","conversion_factor_sec_gasoline_syn_orig","cost_var_e","bandwidth_type","version","method","source","comment"
21,"DE",2021,"global_emission_factors.gasoline","[1.0]","[240.9]","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""starting from value for import of syndiesel, adding 20% of variable cost to account for the difference in production costs between producing synthetic diesel (via Fischer-Tropsch) and synthetic gasoline (which can also be produced through MTG-process. Relative difference between production costs remains constant for future years according to the literature source, monetary conversion from €2017 to €2021.""}","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018,5brynolfElectrofuelsTransportSector2018a""}",""
22,"DE",2024,"global_emission_factors.gasoline","[1.0]","[224.0]","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""ownCalculation""}",""
23,"DE",2027,"global_emission_factors.gasoline","[1.0]","[207.2]","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""ownCalculation""}",""
24,"DE",2030,"global_emission_factors.gasoline","[1.0]","[190.3]","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""starting from value for import of syndiesel, adding 20% of variable cost to account for the difference in production costs between producing synthetic diesel (via Fischer-Tropsch) and synthetic gasoline (which can also be produced through MTG-process. Relative difference between production costs remains constant for future years according to the literature source.""}","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018""}",""
25,"DE",2035,"global_emission_factors.gasoline","[1.0]","[178.8]","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""ownCalculation""}",""
26,"DE",2040,"global_emission_factors.gasoline","[1.0]","[167.2]","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018,5brynolfElectrofuelsTransportSector2018a""}",""
27,"DE",2045,"global_emission_factors.gasoline","[1.0]","[155.7]","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""ownCalculation""}",""
28,"DE",2050,"global_emission_factors.gasoline","[1.0]","[144.1]","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""starting from value for import of syndiesel, adding 20% of variable cost to account for the difference in production costs between producing synthetic diesel (via Fischer-Tropsch) and synthetic gasoline (which can also be produced through MTG-process. Relative difference between production costs remains constant for future years according to the literature source.""}","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018,5brynolfElectrofuelsTransportSector2018a""}",""
29,"DE",2060,"global_emission_factors.gasoline","[1.0]","[144.1]","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""assumed to remain constant""}","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""ownAssumptions""}",""
30,"DE",2070,"global_emission_factors.gasoline","[1.0]","[144.1]","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""assumed to remain constant""}","{""ef_sec_gasoline_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_gasoline_syn_orig"": """", ""cost_var_e"": ""ownAssumptions""}",""
