"id","region","year","ef_sec_kerosene_syn_orig_emi_co2_neg_imp","conversion_factor_sec_kerosene_syn_orig","cost_var_e","bandwidth_type","version","method","source","comment"
21,"DE",2021,"global_emission_factors.kerosene","[1.0]","[200.8]","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""value for 2020 assumed from literature source, mean value calculated from differenct scenarios and regions, converted from ct/kWh in €/MWh and monetary conversion from €2017 to €2021.""}","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018""}",""
22,"DE",2024,"global_emission_factors.kerosene","[1.0]","[186.7]","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""ownCalculation""}",""
23,"DE",2027,"global_emission_factors.kerosene","[1.0]","[172.7]","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""ownCalculation""}",""
24,"DE",2030,"global_emission_factors.kerosene","[1.0]","[158.6]","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""value from literature, mean value calculated from differenct scenarios and regions, converted from ct/kWh in €/MWh and monetary conversion from €2017 to €2021.""}","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018""}",""
25,"DE",2035,"global_emission_factors.kerosene","[1.0]","[149.0]","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""ownCalculation""}",""
26,"DE",2040,"global_emission_factors.kerosene","[1.0]","[139.4]","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018""}",""
27,"DE",2045,"global_emission_factors.kerosene","[1.0]","[129.8]","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""ownCalculation""}",""
28,"DE",2050,"global_emission_factors.kerosene","[1.0]","[120.1]","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""value from literature, mean value calculated from differenct scenarios and regions, converted from ct/kWh in €/MWh and monetary conversion from €2017 to €2021.""}","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018""}",""
29,"DE",2060,"global_emission_factors.kerosene","[1.0]","[120.1]","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""assumed to remain constant""}","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""ownAssumptions""}",""
30,"DE",2070,"global_emission_factors.kerosene","[1.0]","[120.1]","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""assumed to remain constant""}","{""ef_sec_kerosene_syn_orig_emi_co2_neg_imp"": """", ""conversion_factor_sec_kerosene_syn_orig"": """", ""cost_var_e"": ""ownAssumptions""}",""
