"id","region","year","conversion_factor_sec_methane","conversion_factor_sec_cng","cost_var_e","bandwidth_type","version","method","source","comment"
21,"DE",2021,"[1.0]","[1.0]","[44.03]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_cng"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""value from literature in 0.64 €/kg and includes infrastructure costs for a refueling station which converts natural gas or biogas to CNG, conversion from €/kg to €/MWh with LHV of LPG and monetary conversion, value from 2023 assumed to be constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""5basmaTotalCostOwnership2023""}",""
22,"DE",2024,"[1.0]","[1.0]","[44.03]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_cng"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""5basmaTotalCostOwnership2023""}",""
23,"DE",2027,"[1.0]","[1.0]","[44.03]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_cng"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""5basmaTotalCostOwnership2023""}",""
24,"DE",2030,"[1.0]","[1.0]","[44.03]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_cng"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""5basmaTotalCostOwnership2023""}",""
25,"DE",2035,"[1.0]","[1.0]","[44.03]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_cng"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""5basmaTotalCostOwnership2023""}",""
26,"DE",2040,"[1.0]","[1.0]","[44.03]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_cng"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""5basmaTotalCostOwnership2023""}",""
27,"DE",2045,"[1.0]","[1.0]","[44.03]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_cng"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""5basmaTotalCostOwnership2023""}",""
28,"DE",2050,"[1.0]","[1.0]","[44.03]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_cng"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""5basmaTotalCostOwnership2023""}",""
29,"DE",2060,"[1.0]","[1.0]","[44.03]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_cng"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""5basmaTotalCostOwnership2023""}",""
30,"DE",2070,"[1.0]","[1.0]","[44.03]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_cng"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_cng"": """", ""cost_var_e"": ""5basmaTotalCostOwnership2023""}",""
