"id","region","year","capacity_p_abs_new_max","conversion_factor_sec_elec","conversion_factor_sec_hydrogen_orig","conversion_factor_sec_heat_low","cost_inv_p","cost_fix_p","lifetime","wacc","bandwidth_type","version","method","source","comment"
21,"DE",2021,"[0.0]","[1.0]","[0.55275]","[0.30475]","[1255155.0]","[36804.0]","[23.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""lifetime"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""wacc"": """"}","{""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}","{""comment"": ""for a 100 MW electrolysis plant""}"
22,"DE",2024,"[]","[1.0]","[0.565]","[0.3045]","[1020619.0]","[30103.0]","[24.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""lifetime"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""wacc"": """"}","{""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}","{""comment"": ""for a 100 MW electrolysis plant""}"
23,"DE",2027,"[]","[1.0]","[0.5825]","[0.287]","[819588.0]","[24072.0]","[24.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""lifetime"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""wacc"": """"}","{""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}","{""comment"": ""for a 100 MW electrolysis plant""}"
24,"DE",2030,"[]","[1.0]","[0.6035]","[0.259]","[618552.0]","[18041.0]","[25.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""lifetime"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""wacc"": """"}","{""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}","{""comment"": ""for a 100 MW electrolysis plant""}"
25,"DE",2035,"[]","[1.0]","[0.61925]","[0.24]","[547678.0]","[15980.0]","[26.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""lifetime"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""wacc"": """"}","{""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}","{""comment"": ""for a 100 MW electrolysis plant""}"
26,"DE",2040,"[]","[1.0]","[0.6345]","[0.221]","[476804.0]","[13917.0]","[27.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""lifetime"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""wacc"": """"}","{""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}","{""comment"": ""for a 100 MW electrolysis plant""}"
27,"DE",2045,"[]","[1.0]","[0.658]","[0.2]","[405928.0]","[11856.0]","[27.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""lifetime"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""wacc"": """"}","{""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}","{""comment"": ""for a 100 MW electrolysis plant""}"
28,"DE",2050,"[]","[1.0]","[0.683]","[0.178]","[335051.0]","[9794.0]","[28.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""lifetime"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""wacc"": """"}","{""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}","{""comment"": ""for a 100 MW electrolysis plant""}"
29,"DE",2060,"[]","[1.0]","[0.683]","[0.178]","[335051.0]","[9794.0]","[28.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""lifetime"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""wacc"": """"}","{""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}","{""comment"": ""for a 100 MW electrolysis plant""}"
30,"DE",2070,"[]","[1.0]","[0.683]","[0.178]","[335051.0]","[9794.0]","[28.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_heat_low"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""conversion_factor_sec_heat_low"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""lifetime"": ""mean value from x2x_p2gas_pemec_1 and x2x_p2gas_aec_1"", ""wacc"": """"}","{""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_heat_low"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}","{""comment"": ""for a 100 MW electrolysis plant""}"
