"id","region","year","capacity_p_abs_new_max","conversion_factor_sec_hydrogen_orig","conversion_factor_sec_elec","conversion_factor_sec_heat_high","conversion_factor_emi_co2_reusable","conversion_factor_sec_natural_gas_syn","cost_inv_p","cost_fix_p","lifetime","wacc","bandwidth_type","version","method","source","comment"
21,"DE",2021,"[0.0]","[1.2415]","[0.01]","[0.1525]","[0.1209]","[1.0]","[835051.0]","[31263.0]","[23.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_emi_co2_reusable"": ""values"", ""conversion_factor_sec_heat_high"": ""values"", ""conversion_factor_sec_natural_gas_syn"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_emi_co2_reusable"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_heat_high"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_natural_gas_syn"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""lifetime"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_emi_co2_reusable"": ""ownCalculation"", ""conversion_factor_sec_heat_high"": ""ownCalculation"", ""conversion_factor_sec_natural_gas_syn"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
22,"DE",2024,"[0.0]","[1.22145]","[0.01]","[0.154]","[0.1209]","[1.0]","[739175.0]","[27789.0]","[23.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_emi_co2_reusable"": ""values"", ""conversion_factor_sec_heat_high"": ""values"", ""conversion_factor_sec_natural_gas_syn"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_emi_co2_reusable"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_heat_high"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_natural_gas_syn"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""lifetime"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_emi_co2_reusable"": ""ownCalculation"", ""conversion_factor_sec_heat_high"": ""ownCalculation"", ""conversion_factor_sec_natural_gas_syn"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
23,"DE",2027,"[0.0]","[1.2014]","[0.01]","[0.1555]","[0.1209]","[1.0]","[655026.0]","[22744.0]","[23.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_emi_co2_reusable"": ""values"", ""conversion_factor_sec_heat_high"": ""values"", ""conversion_factor_sec_natural_gas_syn"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_emi_co2_reusable"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_heat_high"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_natural_gas_syn"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""lifetime"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_emi_co2_reusable"": ""ownCalculation"", ""conversion_factor_sec_heat_high"": ""ownCalculation"", ""conversion_factor_sec_natural_gas_syn"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
24,"DE",2030,"[]","[1.18135]","[0.01]","[0.1575]","[0.1209]","[1.0]","[568299.0]","[21495.0]","[23.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_emi_co2_reusable"": ""values"", ""conversion_factor_sec_heat_high"": ""values"", ""conversion_factor_sec_natural_gas_syn"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_emi_co2_reusable"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_heat_high"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_natural_gas_syn"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""lifetime"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_emi_co2_reusable"": ""ownCalculation"", ""conversion_factor_sec_heat_high"": ""ownCalculation"", ""conversion_factor_sec_natural_gas_syn"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
25,"DE",2035,"[]","[1.17085]","[0.01]","[0.15875]","[0.1209]","[1.0]","[503866.0]","[19092.0]","[23.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_emi_co2_reusable"": ""values"", ""conversion_factor_sec_heat_high"": ""values"", ""conversion_factor_sec_natural_gas_syn"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_emi_co2_reusable"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_heat_high"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_natural_gas_syn"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""lifetime"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_emi_co2_reusable"": ""ownCalculation"", ""conversion_factor_sec_heat_high"": ""ownCalculation"", ""conversion_factor_sec_natural_gas_syn"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
26,"DE",2040,"[]","[1.16035]","[0.01]","[0.16]","[0.1209]","[1.0]","[439433.0]","[16688.0]","[23.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_emi_co2_reusable"": ""values"", ""conversion_factor_sec_heat_high"": ""values"", ""conversion_factor_sec_natural_gas_syn"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_emi_co2_reusable"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_heat_high"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_natural_gas_syn"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""lifetime"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_emi_co2_reusable"": ""ownCalculation"", ""conversion_factor_sec_heat_high"": ""ownCalculation"", ""conversion_factor_sec_natural_gas_syn"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
27,"DE",2045,"[]","[1.16035]","[0.01]","[0.16125]","[0.1209]","[1.0]","[398196.0]","[15212.0]","[23.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_emi_co2_reusable"": ""values"", ""conversion_factor_sec_heat_high"": ""values"", ""conversion_factor_sec_natural_gas_syn"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_emi_co2_reusable"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_heat_high"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_natural_gas_syn"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""lifetime"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_emi_co2_reusable"": ""ownCalculation"", ""conversion_factor_sec_heat_high"": ""ownCalculation"", ""conversion_factor_sec_natural_gas_syn"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
28,"DE",2050,"[]","[1.16035]","[0.01]","[0.1625]","[0.1209]","[1.0]","[356959.0]","[13737.0]","[23.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_emi_co2_reusable"": ""values"", ""conversion_factor_sec_heat_high"": ""values"", ""conversion_factor_sec_natural_gas_syn"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_emi_co2_reusable"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_heat_high"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_natural_gas_syn"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""lifetime"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_emi_co2_reusable"": ""ownCalculation"", ""conversion_factor_sec_heat_high"": ""ownCalculation"", ""conversion_factor_sec_natural_gas_syn"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
29,"DE",2060,"[]","[1.16035]","[0.01]","[0.1625]","[0.1209]","[1.0]","[356959.0]","[13737.0]","[23.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_emi_co2_reusable"": ""values"", ""conversion_factor_sec_heat_high"": ""values"", ""conversion_factor_sec_natural_gas_syn"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_emi_co2_reusable"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_heat_high"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_natural_gas_syn"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""lifetime"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_emi_co2_reusable"": ""ownCalculation"", ""conversion_factor_sec_heat_high"": ""ownCalculation"", ""conversion_factor_sec_natural_gas_syn"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
30,"DE",2070,"[]","[1.16035]","[0.01]","[0.1625]","[0.1209]","[1.0]","[356959.0]","[13737.0]","[23.0]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_emi_co2_reusable"": ""values"", ""conversion_factor_sec_heat_high"": ""values"", ""conversion_factor_sec_natural_gas_syn"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_hydrogen_orig"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_elec"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_emi_co2_reusable"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_heat_high"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""conversion_factor_sec_natural_gas_syn"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_inv_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""cost_fix_p"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""lifetime"": ""mean value from x2x_p2gas_sabm_1 and x2x_p2gas_biom_1"", ""wacc"": """"}","{""conversion_factor_sec_hydrogen_orig"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownCalculation"", ""conversion_factor_emi_co2_reusable"": ""ownCalculation"", ""conversion_factor_sec_heat_high"": ""ownCalculation"", ""conversion_factor_sec_natural_gas_syn"": ""ownCalculation"", ""cost_inv_p"": ""ownCalculation"", ""cost_fix_p"": ""ownCalculation"", ""lifetime"": ""ownCalculation"", ""wacc"": """"}",""
