"id","region","year","ef_sec_biokerosene_orig_emi_co2_neg_air_bio","conversion_factor_sec_biokerosene_orig","capacity_p_max","cost_var_e","bandwidth_type","version","method","source","comment"
21,"DE",2021,"global_emission_factors.kerosene","[1.0]","[1506.849]","[115.4]","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""to produce HEFA biokerosene in Germany, primarily rapeseed can be used. With the cultivable land potential of 1.8 Mio ha (https://www.ufop.de/files/2213/6368/8131/Ansicht_Broschuere_Rapskultur.pdf) and the area specific yield of 48 GJ/ha and the share of biojet fuel per HEFA yield of 55% the potential can be calculated and then divided by 8760h"", ""cost_var_e"": ""value for 2020 assumed from literature source, literature source assumes prices but a comparison with another literature source reveals a 10% difference between production costs and prices (https://www.iea.org/data-and-statistics/charts/fossil-jet-and-biojet-fuel-production-cost-ranges-2010-2030) which is accounted for here. Conversion from €/l to €/MWh with density 0.78 kg/l and LHV of 44 MJ/kg according to https://f3centre.se/app/uploads/Fuels_Fact-sheet-5_HEFA_HVO_160810_FINAL.pdf""}","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""ownCalculation"", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018""}",""
22,"DE",2024,"global_emission_factors.kerosene","[1.0]","[1506.849]","[109.4]","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""assumed to remain constant"", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation""}",""
23,"DE",2027,"global_emission_factors.kerosene","[1.0]","[1506.849]","[103.3]","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""assumed to remain constant"", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation""}",""
24,"DE",2030,"global_emission_factors.kerosene","[1.0]","[1506.849]","[97.3]","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""assumed to remain constant"", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""ownAssumption"", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018""}",""
25,"DE",2035,"global_emission_factors.kerosene","[1.0]","[1506.849]","[94.9]","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""assumed to remain constant"", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation""}",""
26,"DE",2040,"global_emission_factors.kerosene","[1.0]","[1506.849]","[92.5]","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""assumed to remain constant"", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""ownAssumption"", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018""}",""
27,"DE",2045,"global_emission_factors.kerosene","[1.0]","[1506.849]","[91.1]","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""assumed to remain constant"", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation""}",""
28,"DE",2050,"global_emission_factors.kerosene","[1.0]","[1506.849]","[89.6]","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""assumed to remain constant"", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""ownAssumption"", ""cost_var_e"": ""5pernerFutureCostElectricityBased2018""}",""
29,"DE",2060,"global_emission_factors.kerosene","[1.0]","[1506.849]","[89.6]","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""assumed to remain constant"", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""ownAssumption"", ""cost_var_e"": ""ownAssumptions""}",""
30,"DE",2070,"global_emission_factors.kerosene","[1.0]","[1506.849]","[89.6]","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""assumed to remain constant"", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biokerosene_orig_emi_co2_neg_air_bio"": """", ""conversion_factor_sec_biokerosene_orig"": """", ""capacity_p_max"": ""ownAssumption"", ""cost_var_e"": ""ownAssumptions""}",""
