id;scenario;process;parameter;sector;category;specification;new;groups;input_groups;output_groups;year;unit;value
0;f_tra_tokio;electricity_market_source;capacity_inst;electricity;market;[];0;;;;2021;GW;0.0
1;f_tra_tokio;electricity_market_source;capacity_new;electricity;market;[];0;;;;2021;GW;0.0
2;f_tra_tokio;electricity_market_source;costs_investment;electricity;market;[];0;;;;2021;MEUR/a;0.0
3;f_tra_tokio;electricity_market_source;costs_fixed;electricity;market;[];0;;;;2021;MEUR/a;0.0
4;f_tra_tokio;electricity_market_source;costs_variable;electricity;market;[];0;;;;2021;MEUR/a;0.0
5;f_tra_tokio;electricity_market_source;flow_volume;electricity;market;[];0;;;['sec_elec'];2021;GWh;1020.9601397937863
6;f_tra_tokio;electricity_market_source;capacity_inst;electricity;market;[];0;;;;2028;GW;0.0
7;f_tra_tokio;electricity_market_source;capacity_new;electricity;market;[];0;;;;2028;GW;0.0
8;f_tra_tokio;electricity_market_source;costs_investment;electricity;market;[];0;;;;2028;MEUR/a;0.0
9;f_tra_tokio;electricity_market_source;costs_fixed;electricity;market;[];0;;;;2028;MEUR/a;0.0
10;f_tra_tokio;electricity_market_source;costs_variable;electricity;market;[];0;;;;2028;MEUR/a;0.0
11;f_tra_tokio;electricity_market_source;flow_volume;electricity;market;[];0;;;['sec_elec'];2028;GWh;22943.87088852577
12;f_tra_tokio;electricity_market_source;capacity_inst;electricity;market;[];0;;;;2035;GW;0.0
13;f_tra_tokio;electricity_market_source;capacity_new;electricity;market;[];0;;;;2035;GW;0.0
14;f_tra_tokio;electricity_market_source;costs_investment;electricity;market;[];0;;;;2035;MEUR/a;0.0
15;f_tra_tokio;electricity_market_source;costs_fixed;electricity;market;[];0;;;;2035;MEUR/a;0.0
16;f_tra_tokio;electricity_market_source;costs_variable;electricity;market;[];0;;;;2035;MEUR/a;0.0
17;f_tra_tokio;electricity_market_source;flow_volume;electricity;market;[];0;;;['sec_elec'];2035;GWh;34474.33229747024
18;f_tra_tokio;electricity_market_source;capacity_inst;electricity;market;[];0;;;;2042;GW;0.0
19;f_tra_tokio;electricity_market_source;capacity_new;electricity;market;[];0;;;;2042;GW;0.0
20;f_tra_tokio;electricity_market_source;costs_investment;electricity;market;[];0;;;;2042;MEUR/a;0.0
21;f_tra_tokio;electricity_market_source;costs_fixed;electricity;market;[];0;;;;2042;MEUR/a;0.0
22;f_tra_tokio;electricity_market_source;costs_variable;electricity;market;[];0;;;;2042;MEUR/a;0.0
23;f_tra_tokio;electricity_market_source;flow_volume;electricity;market;[];0;;;['sec_elec'];2042;GWh;63639.923893981795
24;f_tra_tokio;electricity_market_source;capacity_inst;electricity;market;[];0;;;;2049;GW;0.0
25;f_tra_tokio;electricity_market_source;capacity_new;electricity;market;[];0;;;;2049;GW;0.0
26;f_tra_tokio;electricity_market_source;costs_investment;electricity;market;[];0;;;;2049;MEUR/a;0.0
27;f_tra_tokio;electricity_market_source;costs_fixed;electricity;market;[];0;;;;2049;MEUR/a;0.0
28;f_tra_tokio;electricity_market_source;costs_variable;electricity;market;[];0;;;;2049;MEUR/a;0.0
29;f_tra_tokio;electricity_market_source;flow_volume;electricity;market;[];0;;;['sec_elec'];2049;GWh;72908.79380221521
30;f_tra_tokio;electricity_market_source;capacity_inst;electricity;market;[];0;;;;2056;GW;0.0
31;f_tra_tokio;electricity_market_source;capacity_new;electricity;market;[];0;;;;2056;GW;0.0
32;f_tra_tokio;electricity_market_source;costs_investment;electricity;market;[];0;;;;2056;MEUR/a;0.0
33;f_tra_tokio;electricity_market_source;costs_fixed;electricity;market;[];0;;;;2056;MEUR/a;0.0
34;f_tra_tokio;electricity_market_source;costs_variable;electricity;market;[];0;;;;2056;MEUR/a;0.0
35;f_tra_tokio;electricity_market_source;flow_volume;electricity;market;[];0;;;['sec_elec'];2056;GWh;81967.60933775328
36;f_tra_tokio;electricity_market_source;capacity_inst;electricity;market;[];0;;;;2063;GW;0.0
37;f_tra_tokio;electricity_market_source;capacity_new;electricity;market;[];0;;;;2063;GW;0.0
38;f_tra_tokio;electricity_market_source;costs_investment;electricity;market;[];0;;;;2063;MEUR/a;0.0
39;f_tra_tokio;electricity_market_source;costs_fixed;electricity;market;[];0;;;;2063;MEUR/a;0.0
40;f_tra_tokio;electricity_market_source;costs_variable;electricity;market;[];0;;;;2063;MEUR/a;0.0
41;f_tra_tokio;electricity_market_source;flow_volume;electricity;market;[];0;;;['sec_elec'];2063;GWh;78228.90085919427
